epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,349.69,0.88413,1.9653,1.24553,0.6304,0.59058,0.65428,0.46715,1.69564,1.63532,1.38961,2.82082e-05,2.82082e-05,2.82082e-05
40,358.516,0.73674,1.09483,1.08556,0.6304,0.59058,0.65428,0.46715,1.69564,1.63532,1.38961,2.84911e-05,2.84911e-05,2.84911e-05
41,367.811,1.0885,1.97496,1.4769,0.62913,0.59061,0.62851,0.42083,1.69366,1.70276,1.38922,2.87504e-05,2.87504e-05,2.87504e-05
42,376.384,0.83495,1.18242,1.21808,0.62913,0.59061,0.62851,0.42083,1.69366,1.70276,1.38922,2.89861e-05,2.89861e-05,2.89861e-05
43,385.222,0.72121,0.85053,1.04967,0.5918,0.50638,0.5649,0.34765,1.67835,1.73979,1.38948,2.91983e-05,2.91983e-05,2.91983e-05
44,396.298,0.83603,1.12047,1.21524,0.5918,0.50638,0.5649,0.34765,1.67835,1.73979,1.38948,2.93869e-05,2.93869e-05,2.93869e-05
45,407.263,0.64145,0.98338,1.17149,0.60408,0.5,0.55477,0.33801,1.68815,1.78497,1.39724,2.9552e-05,2.9552e-05,2.9552e-05
46,422.145,0.70663,0.9293,1.02862,0.60408,0.5,0.55477,0.33801,1.68815,1.78497,1.39724,2.96935e-05,2.96935e-05,2.96935e-05
47,439.532,0.75891,0.95162,1.06261,0.61592,0.5,0.5319,0.31492,1.70382,1.83658,1.40953,2.98114e-05,2.98114e-05,2.98114e-05
48,465.567,0.71851,0.83157,1.15721,0.61592,0.5,0.5319,0.31492,1.70382,1.83658,1.40953,2.99058e-05,2.99058e-05,2.99058e-05
49,483.7,0.99522,1.20753,1.4056,0.7921,0.5,0.53332,0.31303,1.71817,1.86656,1.42063,2.99766e-05,2.99766e-05,2.99766e-05
50,497.142,0.94319,1.5844,1.35769,0.7921,0.5,0.53332,0.31303,1.71817,1.86656,1.42063,3.00238e-05,3.00238e-05,3.00238e-05
